word,cefr_level,part_of_speech,definition
hello,A1,interjection,used as a greeting
goodbye,A1,interjection,used when leaving
yes,A1,adverb,used to express agreement
no,A1,adverb,used to express disagreement
please,A1,adverb,used in polite requests
thank,A1,verb,to express gratitude
water,A1,noun,a clear liquid
food,A1,noun,something you eat
day,A1,noun,24 hours
night,A1,noun,time when it is dark
good,A1,adjective,of high quality
bad,A1,adjective,of poor quality
big,A1,adjective,large in size
small,A1,adjective,little in size
happy,A1,adjective,feeling pleasure
sad,A1,adjective,feeling sorrow
hot,A1,adjective,having high temperature
cold,A1,adjective,having low temperature
new,A1,adjective,recently made
old,A1,adjective,having existed for a long time
I,A1,pronoun,used by speaker to refer to themselves
you,A1,pronoun,referring to the person addressed
he,A1,pronoun,referring to a male person
she,A1,pronoun,referring to a female person
it,A1,pronoun,referring to a thing
we,A1,pronoun,referring to the speaker and others
they,A1,pronoun,referring to people or things
this,A1,pronoun,referring to something near
that,A1,pronoun,referring to something far
here,A1,adverb,in this place
there,A1,adverb,in that place
now,A1,adverb,at present time
then,A1,adverb,at that time
one,A1,number,the number 1
two,A1,number,the number 2
three,A1,number,the number 3
four,A1,number,the number 4
five,A1,number,the number 5
man,A1,noun,adult male person
woman,A1,noun,adult female person
child,A1,noun,young human being
boy,A1,noun,male child
girl,A1,noun,female child
family,A1,noun,parents and children
friend,A1,noun,person you like
house,A1,noun,building to live in
home,A1,noun,place where you live
school,A1,noun,place for education
teacher,A1,noun,person who teaches
student,A1,noun,person who studies
book,A1,noun,written work
pen,A1,noun,writing instrument
table,A1,noun,piece of furniture
chair,A1,noun,seat with back
door,A1,noun,entrance or exit
window,A1,noun,opening in wall
car,A1,noun,road vehicle
bus,A1,noun,large vehicle for passengers
train,A1,noun,railway vehicle
plane,A1,noun,aircraft
time,A1,noun,ongoing sequence of events
year,A1,noun,365 days
month,A1,noun,about 30 days
week,A1,noun,7 days
hour,A1,noun,60 minutes
minute,A1,noun,60 seconds
morning,A1,noun,early part of day
afternoon,A1,noun,middle part of day
evening,A1,noun,late part of day
today,A1,noun,this day
tomorrow,A1,noun,the day after today
yesterday,A1,noun,the day before today
name,A1,noun,what someone is called
work,A1,noun,job or task
place,A1,noun,location
thing,A1,noun,object
person,A1,noun,human being
be,A1,verb,to exist
have,A1,verb,to possess
do,A1,verb,to perform
say,A1,verb,to speak
go,A1,verb,to move
get,A1,verb,to obtain
make,A1,verb,to create
know,A1,verb,to be aware
think,A1,verb,to use mind
take,A1,verb,to grab
see,A1,verb,to use eyes
come,A1,verb,to move toward
want,A1,verb,to desire
look,A1,verb,to direct eyes
use,A1,verb,to employ
find,A1,verb,to discover
give,A1,verb,to provide
tell,A1,verb,to inform
work,A1,verb,to do a job
call,A1,verb,to name
try,A1,verb,to attempt
ask,A1,verb,to request
need,A1,verb,to require
feel,A1,verb,to experience
become,A1,verb,to grow to be
leave,A1,verb,to go away
put,A1,verb,to place
mean,A1,verb,to signify
keep,A1,verb,to retain
let,A1,verb,to allow
begin,A1,verb,to start
seem,A1,verb,to appear
help,A1,verb,to assist
show,A1,verb,to display
hear,A1,verb,to perceive sound
play,A1,verb,to engage in activity
run,A1,verb,to move fast
move,A1,verb,to change position
like,A1,verb,to enjoy
live,A1,verb,to be alive
believe,A1,verb,to accept as true
bring,A1,verb,to carry
happen,A1,verb,to occur
write,A1,verb,to put words on paper
sit,A1,verb,to be seated
stand,A1,verb,to be upright
lose,A1,verb,to be unable to find
pay,A1,verb,to give money
meet,A1,verb,to come together
include,A1,verb,to contain
continue,A1,verb,to keep going
set,A1,verb,to put in place
learn,A1,verb,to gain knowledge
change,A1,verb,to make different
lead,A1,verb,to guide
understand,A1,verb,to comprehend
watch,A1,verb,to observe
follow,A1,verb,to go after
stop,A1,verb,to cease
create,A1,verb,to make
speak,A1,verb,to talk
read,A1,verb,to look at words
spend,A1,verb,to use money
grow,A1,verb,to increase
open,A1,verb,to make accessible
walk,A1,verb,to move on foot
win,A1,verb,to be victorious
teach,A1,verb,to instruct
offer,A1,verb,to present
remember,A1,verb,to recall
consider,A1,verb,to think about
appear,A1,verb,to come into view
buy,A1,verb,to purchase
wait,A1,verb,to stay
serve,A1,verb,to help
die,A1,verb,to stop living
send,A1,verb,to dispatch
expect,A1,verb,to anticipate
build,A1,verb,to construct
stay,A1,verb,to remain
fall,A1,verb,to drop
cut,A1,verb,to divide with sharp tool
reach,A1,verb,to arrive at
kill,A1,verb,to cause death
raise,A1,verb,to lift
