task,input,output,source
grammar,"Yours sincerely ,","{'corrected': '-NONE-', 'explanation': 'Error type: noop'}",wi_locness
grammar,"Particularly in Barcelona , the trouble was that they could fish on the sea but there was n't an apr","{'corrected': ',', 'explanation': 'Error type: M:PUNCT'}",wi_locness
grammar,"In that time I did not know nobody , just one .","{'corrected': 'anybody', 'explanation': 'Error type: R:NOUN'}",wi_locness
grammar,I am go to school,"{'corrected': 'I am going to school', 'explanation': ""Continuous tense requires present participle '",synthetic
fluency,Yesterday I go to school,"{'fluency_score': 0.65, 'reasoning': 'Incorrect past tense usage'}",synthetic
grammar,"If It is very coldly and windily outside , I do n't worry about it and I 'm exsercising at home .","{'corrected': 'wind', 'explanation': 'Error type: R:OTHER'}",wi_locness
vocabulary,The weather is nice today,"{'level': 'A2', 'key_words': 'weather (A2), nice (A2)'}",synthetic
grammar,They was playing,"{'corrected': 'They were playing', 'explanation': ""Subject-verb agreement: 'they' requires 'were'""}",synthetic
grammar,A group of fishers began to walk around the city looking for a good place where they would have brou,"{'corrected': 'take', 'explanation': 'Error type: R:VERB'}",wi_locness
grammar,She don't like coffee,"{'corrected': ""She doesn't like coffee"", 'explanation': ""Subject-verb agreement: 'she' requires 'doe",synthetic
fluency,The weather is beautiful today,"{'fluency_score': 0.95, 'reasoning': 'Perfect grammar and natural flow'}",synthetic
grammar,Nowadays a person 's worth seems to be judge according to the social status and material possessions,{'corrected': "Nowadays a person 's worth seems to be judge according to the social status and mater,wi_locness
grammar,I goes to school yesterday,"{'corrected': 'I went to school yesterday', 'explanation': ""Incorrect tense: past time requires past",synthetic
grammar,He have a car,"{'corrected': 'He has a car', 'explanation': ""Subject-verb agreement: 'he' requires 'has'""}",synthetic
dialogue,She don't like coffee | fluency:0.55 | level:A2 | errors:Subject-verb agreement,"{'response': ""Almost there! With 'she', we use 'doesn't': 'She doesn't like coffee.'""}",synthetic
grammar,They was playing,"{'corrected': 'They were playing', 'explanation': ""Subject-verb agreement: 'they' requires 'were'""}",synthetic
grammar,I am go to school,"{'corrected': 'I am going to school', 'explanation': ""Continuous tense requires present participle '",synthetic
grammar,They was playing,"{'corrected': 'They were playing', 'explanation': ""Subject-verb agreement: 'they' requires 'were'""}",synthetic
dialogue,The weather is beautiful today | fluency:0.95 | level:A2 | errors:None,{'response': 'Perfect! Grammatically correct and very natural expression.'},synthetic
fluency,I like learning English,"{'fluency_score': 0.9, 'reasoning': 'Clear and natural expression'}",synthetic
grammar,"There are some old people who are interested to know how work technology , but others who are not in","{'corrected': 'technology works', 'explanation': 'Error type: R:OTHER'}",wi_locness
dialogue,She don't like coffee | fluency:0.55 | level:A2 | errors:Subject-verb agreement,"{'response': ""Almost there! With 'she', we use 'doesn't': 'She doesn't like coffee.'""}",synthetic
dialogue,She don't like coffee | fluency:0.55 | level:A2 | errors:Subject-verb agreement,"{'response': ""Almost there! With 'she', we use 'doesn't': 'She doesn't like coffee.'""}",synthetic
grammar,He have a car,"{'corrected': 'He has a car', 'explanation': ""Subject-verb agreement: 'he' requires 'has'""}",synthetic
grammar,Michael got married his close friend since only one month .,"{'corrected': 'only one month ago', 'explanation': 'Error type: R:OTHER'}",wi_locness
vocabulary,The weather is nice today,"{'level': 'A2', 'key_words': 'weather (A2), nice (A2)'}",synthetic
dialogue,I like learning English | fluency:0.90 | level:A2 | errors:None,{'response': "That's wonderful! Your sentence is very clear and natural."},synthetic
grammar,She don't like coffee,"{'corrected': ""She doesn't like coffee"", 'explanation': ""Subject-verb agreement: 'she' requires 'doe",synthetic
fluency,Me and my friend goes to park,"{'fluency_score': 0.45, 'reasoning': 'Multiple grammatical errors'}",synthetic
grammar,I am go to school,"{'corrected': 'I am going to school', 'explanation': ""Continuous tense requires present participle '",synthetic
grammar,She don't like coffee,"{'corrected': ""She doesn't like coffee"", 'explanation': ""Subject-verb agreement: 'she' requires 'doe",synthetic
dialogue,I like learning English | fluency:0.90 | level:A2 | errors:None,{'response': "That's wonderful! Your sentence is very clear and natural."},synthetic
grammar,She don't like coffee,"{'corrected': ""She doesn't like coffee"", 'explanation': ""Subject-verb agreement: 'she' requires 'doe",synthetic
grammar,I felt cold sweat on my back .,"{'corrected': '-NONE-', 'explanation': 'Error type: noop'}",wi_locness
grammar,I goes to school yesterday,"{'corrected': 'I went to school yesterday', 'explanation': ""Incorrect tense: past time requires past",synthetic
vocabulary,His argument was quite eloquent,"{'level': 'B2', 'key_words': 'argument (B2), eloquent (B2)'}",synthetic
dialogue,The weather is beautiful today | fluency:0.95 | level:A2 | errors:None,{'response': 'Perfect! Grammatically correct and very natural expression.'},synthetic
grammar,We stayed in Zacatecas like a week we really had a good time .,"{'corrected': 'for', 'explanation': 'Error type: R:PREP'}",wi_locness
vocabulary,I like to eat apples,"{'level': 'A2', 'key_words': 'like (A2), eat (A2), apples (A2)'}",synthetic
grammar,He have a car,"{'corrected': 'He has a car', 'explanation': ""Subject-verb agreement: 'he' requires 'has'""}",synthetic
grammar,It is a very cool mountain .,"{'corrected': '-NONE-', 'explanation': 'Error type: noop'}",wi_locness
grammar,IN my country peole do alot of mistake and have alot of of bad habits concerning their attitude towa,"{'corrected': 'mistakes', 'explanation': 'Error type: R:NOUN:NUM'}",wi_locness
grammar,I am go to school,"{'corrected': 'I am going to school', 'explanation': ""Continuous tense requires present participle '",synthetic
grammar,She don't like coffee,"{'corrected': ""She doesn't like coffee"", 'explanation': ""Subject-verb agreement: 'she' requires 'doe",synthetic
vocabulary,I like to eat apples,"{'level': 'A2', 'key_words': 'like (A2), eat (A2), apples (A2)'}",synthetic
vocabulary,The weather is nice today,"{'level': 'A2', 'key_words': 'weather (A2), nice (A2)'}",synthetic
grammar,I am go to school,"{'corrected': 'I am going to school', 'explanation': ""Continuous tense requires present participle '",synthetic
grammar,I am go to school,"{'corrected': 'I am going to school', 'explanation': ""Continuous tense requires present participle '",synthetic
grammar,She don't like coffee,"{'corrected': ""She doesn't like coffee"", 'explanation': ""Subject-verb agreement: 'she' requires 'doe",synthetic
vocabulary,We should discuss the opportunity,"{'level': 'B1', 'key_words': 'discuss (B1), opportunity (B1)'}",synthetic
dialogue,We should discuss the opportunity | fluency:0.92 | level:B1 | errors:None,{'response': 'Excellent! Your sentence structure is perfect and natural.'},synthetic
fluency,She don't like coffee,"{'fluency_score': 0.55, 'reasoning': 'Subject-verb disagreement'}",synthetic
vocabulary,The weather is nice today,"{'level': 'A2', 'key_words': 'weather (A2), nice (A2)'}",synthetic
grammar,He have a car,"{'corrected': 'He has a car', 'explanation': ""Subject-verb agreement: 'he' requires 'has'""}",synthetic
grammar,Maybe you can bring some money and spend it on something fun .,"{'corrected': '-NONE-', 'explanation': 'Error type: noop'}",wi_locness
grammar,She don't like coffee,"{'corrected': ""She doesn't like coffee"", 'explanation': ""Subject-verb agreement: 'she' requires 'doe",synthetic
grammar,As always after having fish for dinner he had a strange dream .,"{'corrected': ',', 'explanation': 'Error type: M:PUNCT'}",wi_locness
grammar,He have a car,"{'corrected': 'He has a car', 'explanation': ""Subject-verb agreement: 'he' requires 'has'""}",synthetic
